animal ID,date,location,season,species,d13C,d15N,d34S,tissue type,t.subset,weight,long,lat,C/N ratio
AWB-4,30.10.2018,RGR,dry season,AWB,-16.98,10.64,10.05,Feather,basal.barbs,n/a,31.82,-7.39,3.37
AWB-4,30.10.2018,RGR,dry season,AWB,-17.50,10.38,9.07,Feather,proximal.barbs,n/a,31.82,-7.39,3.57
AWB-4,30.10.2018,RGR,dry season,AWB,n/a,n/a,n/a,Blood,blood,n/a,31.82,-7.39,n/a
RPV-0112,27.11.2018,SER,short rains,RPV,-11.40,13.05,7.80,Feather,basal.barbs,18.40,34.64,-2.08,n/a
RPV-0112,27.11.2018,SER,short rains,RPV,-9.00,13.37,9.74,Feather,proximal.barbs,18.40,34.64,-2.08,n/a
RPV-0112,27.11.2018,SER,short rains,RPV,-11.09,10.74,10.53,Blood,blood,18.4,34.64,-2.08,n/a
RPV-0113,29.11.2018,SER,short rains,RPV,-12.30,12.46,10.09,Feather,basal.barbs,18.60,34.64,-2.08,n/a
RPV-0113,29.11.2018,SER,short rains,RPV,-9.74,12.64,9.62,Feather,proximal.barbs,18.60,34.64,-2.08,n/a
RPV-0113,29.11.2018,SER,short rains,RPV,-10.06,11.01,11.19,Blood,blood,18.6,34.64,-2.08,n/a
RPV-016,21.06.2018,SGR,dry season,RPV,n/a,n/a,n/a,Feather,basal.barbs,n/a,37.85,-2.08,n/a
RPV-016,21.06.2018,SGR,dry season,RPV,n/a,n/a,n/a,Feather,proximal.barbs,n/a,37.85,-2.08,n/a
RPV-016,21.06.2018,SGR,dry season,RPV,-13.35,10.71,13.13,Blood,blood,n/a,37.85,-2.08,n/a
AWB-017,19.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,basal.barbs,11.12,37.85,-2.08,n/a
AWB-017,19.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,proximal.barbs,11.12,37.85,-2.08,n/a
AWB-017,19.06.2018,SGR,dry season,AWB,-13.87,10.66,12.81,Blood,blood,11.12,37.85,-2.08,n/a
AWB-018,21.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,basal.barbs,11.18,37.85,-2.08,n/a
AWB-018,21.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,proximal.barbs,11.18,37.85,-2.08,n/a
AWB-018,21.06.2018,SGR,dry season,AWB,-15.30,n/a,10.35,Blood,blood,11.18,37.85,-2.08,n/a
AWB-019,26.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,basal.barbs,12.75,37.85,-2.08,n/a
AWB-019,26.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,proximal.barbs,12.75,37.85,-2.08,n/a
AWB-019,26.06.2018,SGR,dry season,AWB,-12.96,11.22,13.73,Blood,blood,12.75,37.85,-2.08,n/a
AWB-0110,21.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,basal.barbs,12.62,37.85,-2.08,n/a
AWB-0110,21.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,proximal.barbs,12.62,37.85,-2.08,n/a
AWB-0110,21.06.2018,SGR,dry season,AWB,-13.61,10.88,11.10,Blood,blood,12.62,37.85,-2.08,n/a
AWB-0111,19.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,basal.barbs,n/a,37.85,-2.08,n/a
AWB-0111,19.06.2018,SGR,dry season,AWB,n/a,n/a,n/a,Feather,proximal.barbs,n/a,37.85,-2.08,n/a
AWB-0111,19.06.2018,SGR,dry season,AWB,-13.91,10.42,12.48,Blood,blood,n/a,37.85,-2.08,n/a
